Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score,Home Shots on Goal,Away Shots on Goal,Home Corner Kicks,Away Corner Kicks,Home Ball Possession,Away Ball Possession,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Home Offsides,Away Offsides,Home expected_goals,Away expected_goals,Home Team_LabelEnc,Away Team_LabelEnc
5.0,1.6666666666666667,11.666666666666668,1.6666666666666667,0.0,3.3333333333333335,0.0,6.666666666666667,3.3333333333333335,3.3333333333333335,1.6666666666666667,1.6666666666666667,1.6666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,35
5.0,1.6666666666666667,16.666666666666668,1.6666666666666667,0.0,3.3333333333333335,-2.5,6.666666666666667,5.0,5.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,33
0.0,1.6666666666666667,15.0,0.0,0.0,5.0,-6.666666666666667,15.0,23.333333333333336,0.0,5.0,0.0,0.0,26.666666666666668,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,11
6.666666666666667,11.666666666666668,6.666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,9.166666666666668,6.666666666666667,10.0,13.333333333333334,1.6666666666666667,1.6666666666666667,1.6666666666666667,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,4
11.666666666666668,15.0,3.3333333333333335,3.3333333333333335,1.6666666666666667,0.0,17.5,8.333333333333334,8.333333333333334,5.0,1.6666666666666667,3.3333333333333335,0.0,10.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5
5.0,6.666666666666667,6.666666666666667,0.0,5.0,0.0,5.0,8.333333333333334,6.666666666666667,5.0,1.6666666666666667,3.3333333333333335,0.0,9.166666666666668,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,40
6.666666666666667,5.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,8.333333333333334,5.0,5.0,6.666666666666667,1.6666666666666667,0.0,3.3333333333333335,4.166666666666667,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3
8.333333333333334,10.0,8.333333333333334,1.6666666666666667,3.3333333333333335,0.0,9.166666666666668,6.666666666666667,3.3333333333333335,6.666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20
0.0,3.3333333333333335,10.0,0.0,0.0,5.0,-3.3333333333333335,10.0,6.666666666666667,10.0,3.3333333333333335,0.0,1.6666666666666667,8.333333333333334,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1
3.75,5.0,8.75,1.25,0.0,3.75,1.875,0.0,2.5,15.0,0.0,0.0,5.0,-6.25,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,38
7.5,6.25,10.0,2.5,0.0,2.5,5.625,6.25,7.5,8.75,1.25,2.5,1.25,5.625,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
5.0,2.5,10.0,1.25,1.25,2.5,1.25,7.5,7.5,6.25,1.25,3.75,0.0,8.125,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,2
6.25,3.75,3.75,1.25,2.5,1.25,6.25,6.25,6.25,6.25,1.25,2.5,1.25,6.25,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,40
2.5,5.0,7.5,0.0,2.5,2.5,1.25,5.0,8.75,7.5,1.25,1.25,2.5,5.625,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,25
5.0,5.0,6.25,1.25,1.25,2.5,4.375,7.5,7.5,6.25,1.25,3.75,0.0,8.125,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14
6.25,5.0,5.0,1.25,2.5,1.25,6.25,12.5,16.25,3.75,3.75,1.25,0.0,18.75,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0
10.0,13.75,6.25,2.5,2.5,0.0,13.75,6.25,2.5,5.0,1.25,2.5,1.25,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,20
5.0,2.5,13.75,1.25,1.25,2.5,-0.625,6.25,5.0,2.5,1.25,2.5,1.25,7.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,22
15.0,21.25,1.25,5.0,0.0,0.0,25.0,8.75,10.0,10.0,2.5,1.25,1.25,8.75,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4
8.0,6.0,2.0,2.0,2.0,1.0,10.0,15.0,21.0,1.0,5.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,11
7.0,7.0,6.0,1.0,4.0,0.0,7.5,2.0,4.0,7.0,0.0,2.0,3.0,0.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,13
1.0,3.0,13.0,0.0,1.0,4.0,-4.0,8.0,6.0,4.0,2.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,35
5.0,4.0,7.0,1.0,2.0,2.0,3.5,6.0,5.0,5.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,33
6.0,7.0,8.0,1.0,3.0,1.0,5.5,4.0,2.0,13.0,1.0,1.0,3.0,-1.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,39
7.0,8.0,12.0,2.0,1.0,2.0,5.0,5.0,5.0,6.0,1.0,2.0,2.0,4.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3
11.0,14.0,4.0,3.0,2.0,0.0,16.0,7.0,5.0,9.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37
6.0,7.0,8.0,1.0,3.0,1.0,5.5,11.0,14.0,7.0,3.0,2.0,0.0,14.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,23
5.0,6.0,8.0,1.0,2.0,2.0,4.0,7.0,6.0,9.0,2.0,1.0,2.0,5.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,1
7.0,8.0,6.0,2.0,1.0,2.0,8.0,4.0,5.0,8.0,1.0,1.0,3.0,2.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,32
5.0,2.0,9.0,1.0,2.0,2.0,1.5,2.0,5.0,9.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,40
6.0,5.0,5.0,1.0,3.0,1.0,6.0,9.0,13.0,9.0,2.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,23
4.0,4.0,10.0,1.0,1.0,3.0,1.0,7.0,7.0,6.0,1.0,4.0,0.0,7.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,14
10.0,8.0,5.0,3.0,1.0,1.0,11.5,6.0,9.0,10.0,1.0,3.0,1.0,5.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,5
6.0,5.0,6.0,1.0,3.0,1.0,5.5,3.0,4.0,6.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,13
7.0,6.0,7.0,2.0,1.0,2.0,6.5,5.0,6.0,7.0,1.0,2.0,2.0,4.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,3
7.0,6.0,5.0,2.0,1.0,2.0,7.5,7.0,5.0,10.0,2.0,1.0,2.0,4.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,1
10.0,7.0,2.0,3.0,1.0,1.0,12.5,7.0,9.0,5.0,2.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,25
5.0,5.0,8.0,1.0,2.0,2.0,3.5,4.0,5.0,14.0,1.0,1.0,3.0,-0.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,4
12.0,15.0,2.0,4.0,0.0,1.0,18.5,10.0,15.0,6.0,3.0,1.0,1.0,14.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0
1.0,4.0,10.0,0.0,1.0,4.0,-2.0,5.0,4.0,8.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,38
4.0,4.0,7.0,1.0,1.0,3.0,2.5,8.0,4.0,3.0,2.0,2.0,1.0,8.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,39
7.0,6.0,5.0,1.0,4.0,0.0,7.5,7.0,6.0,5.0,2.0,1.0,2.0,7.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35
4.0,7.0,10.0,0.0,4.0,1.0,2.5,10.0,6.0,5.0,3.0,1.0,1.0,10.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,32
7.0,9.0,8.0,2.0,1.0,2.0,7.5,3.0,3.0,7.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
9.0,11.0,7.0,2.0,3.0,0.0,11.0,8.0,8.0,6.0,2.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,37
7.0,6.0,6.0,2.0,1.0,2.0,7.0,12.0,11.0,2.0,4.0,0.0,1.0,16.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11
5.0,5.0,5.0,1.0,2.0,2.0,5.0,5.0,6.0,7.0,1.0,2.0,2.0,4.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,20
7.0,7.0,9.0,2.0,1.0,2.0,6.0,10.0,6.0,3.0,3.0,1.0,1.0,11.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,22
5.0,5.0,6.0,1.0,2.0,2.0,4.5,7.0,5.0,4.0,1.0,4.0,0.0,7.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,33
10.0,8.0,5.0,3.0,1.0,1.0,11.5,8.0,7.0,4.0,2.0,2.0,1.0,9.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,13
5.0,4.0,4.0,0.0,5.0,0.0,5.0,5.0,5.0,6.0,1.0,2.0,2.0,4.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,1
6.0,5.0,5.0,1.0,3.0,1.0,6.0,6.0,7.0,9.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,5
2.0,2.0,7.0,0.0,2.0,3.0,-0.5,6.0,7.0,10.0,2.0,0.0,3.0,4.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4
10.0,9.0,2.0,3.0,1.0,1.0,13.5,1.0,4.0,10.0,0.0,1.0,4.0,-2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,40
9.0,10.0,7.0,2.0,3.0,0.0,10.5,6.0,5.0,5.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,14
6.0,5.0,6.0,1.0,3.0,1.0,5.5,4.0,5.0,8.0,1.0,1.0,3.0,2.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,25
10.0,7.0,5.0,3.0,1.0,1.0,11.0,7.0,10.0,9.0,1.0,4.0,0.0,7.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,23
2.0,5.0,9.0,0.0,2.0,3.0,0.0,6.0,4.0,4.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3
13.0,9.0,4.0,4.0,1.0,0.0,15.5,7.0,9.0,8.0,2.0,1.0,2.0,7.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0
5.0,4.0,5.0,1.0,2.0,2.0,4.5,10.0,8.0,1.0,3.0,1.0,1.0,13.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11
8.0,5.0,2.0,2.0,2.0,1.0,9.5,7.0,6.0,6.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,32
3.0,4.0,6.0,0.0,3.0,2.0,2.0,6.0,5.0,5.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,39
7.0,8.0,7.0,2.0,1.0,2.0,7.5,6.0,5.0,5.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38
1.0,3.0,10.0,0.0,1.0,4.0,-2.5,12.0,8.0,6.0,4.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,22
9.0,9.0,7.0,2.0,3.0,0.0,10.0,10.0,8.0,5.0,3.0,1.0,1.0,11.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,35
5.0,4.0,5.0,1.0,2.0,2.0,4.5,4.0,4.0,7.0,1.0,1.0,3.0,2.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
7.0,7.0,7.0,2.0,1.0,2.0,7.0,7.0,4.0,3.0,1.0,4.0,0.0,7.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,33
7.0,7.0,6.0,1.0,4.0,0.0,7.5,4.0,7.0,10.0,1.0,1.0,3.0,2.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20
3.0,5.0,12.0,1.0,0.0,4.0,-0.5,11.0,11.0,7.0,3.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,37
6.0,6.0,6.0,1.0,3.0,1.0,6.0,7.0,5.0,6.0,2.0,1.0,2.0,6.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,35
5.0,5.0,5.0,1.0,2.0,2.0,5.0,5.0,3.0,4.0,1.0,2.0,2.0,4.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1
6.0,4.0,7.0,1.0,3.0,1.0,4.5,6.0,5.0,6.0,2.0,0.0,3.0,5.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,32
9.0,8.0,5.0,2.0,3.0,0.0,10.5,4.0,4.0,8.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,40
6.0,7.0,9.0,2.0,0.0,3.0,5.0,11.0,6.0,1.0,3.0,2.0,0.0,13.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,13
4.0,4.0,6.0,1.0,1.0,3.0,3.0,6.0,5.0,5.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,39
5.0,3.0,4.0,1.0,2.0,2.0,4.5,5.0,4.0,5.0,1.0,2.0,2.0,4.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,38
9.0,8.0,6.0,3.0,0.0,2.0,10.0,7.0,11.0,8.0,2.0,1.0,2.0,8.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25
8.0,9.0,8.0,2.0,2.0,1.0,8.5,9.0,7.0,8.0,3.0,0.0,2.0,8.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,22
7.0,6.0,7.0,2.0,1.0,2.0,6.5,10.0,6.0,2.0,3.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,11
3.0,3.0,7.0,1.0,0.0,4.0,1.0,5.0,5.0,6.0,1.0,2.0,2.0,4.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,2
7.0,7.0,9.0,2.0,1.0,2.0,6.0,8.0,4.0,5.0,2.0,2.0,1.0,7.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,33
10.0,11.0,6.0,3.0,1.0,1.0,12.5,4.0,4.0,6.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3
10.0,6.0,3.0,3.0,1.0,1.0,11.5,5.0,6.0,6.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,14
3.0,2.0,4.0,0.0,3.0,2.0,2.0,7.0,8.0,9.0,2.0,1.0,2.0,6.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4
4.0,4.0,8.0,1.0,1.0,3.0,2.0,9.0,6.0,4.0,3.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0
5.0,6.0,7.0,1.0,2.0,2.0,4.5,9.0,6.0,5.0,3.0,0.0,2.0,9.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,20
3.0,5.0,7.0,0.0,3.0,2.0,2.0,5.0,6.0,8.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,37
